"LOC_ID","ANIMAL_ID","SO"
92,1,21
44,2,1
62,3,55
91,4,44
92,4,63
91,4,64
91,4,41
82,4,54
91,4,26
53,4,75
123,5,7
123,6,7
33,7,9
123,8,28
123,9,28
82,10,21
34,10,67
43,10,13
35,10,43
92,11,63
90,11,47
81,11,23
82,11,21
91,11,64
81,11,27
53,11,75
90,11,14
83,11,58
82,11,54
91,11,44
90,12,47
81,12,27
91,12,44
90,12,14
91,12,21
53,12,75
81,12,23
82,12,54
26,13,9
26,13,2
79,13,64
92,14,21
26,15,9
26,15,2
25,15,9
35,15,43
80,16,68
79,16,64
100,16,18
60,16,58
80,16,33
82,16,41
70,16,29
49,16,37
61,16,8
79,16,33
34,17,67
35,17,34
43,17,22
35,17,43
26,17,9
80,18,65
91,18,41
100,18,18
80,18,68
61,18,8
70,18,29
80,18,33
79,18,33
80,19,1
70,19,29
100,19,18
49,19,37
60,19,54
82,19,41
25,20,9
26,20,9
26,20,2
57,21,27
123,22,7
62,23,55
100,24,18
61,24,8
82,24,21
35,25,42
35,25,43
26,25,9
25,25,2
43,25,22
57,26,27
46,26,16
8,26,63
35,27,2
34,27,67
25,27,9
43,27,13
26,27,9
86,28,59
100,28,8
86,28,59
25,29,9
46,30,16
